class,attempted_speech,imagined_speech,listening
class_1,0,0,0
class_2,9,9,0
class_3,9,9,0
class_4,0,0,0
class_5,0,0,0
class_6,0,0,0
class_7,0,0,0
class_8,0,0,0
class_9,0,0,0
class_10,0,0,0
class_11,9,9,1
class_12,0,0,0
class_13,9,9,0
class_14,0,0,0
class_15,9,9,0
class_16,6,6,0
class_17,0,0,0
class_18,9,9,0
class_19,0,0,0
class_20,0,0,0
class_21,0,0,0
class_22,6,6,0
class_23,6,6,0
class_24,9,9,0
class_25,0,0,0
class_26,0,0,0
class_27,9,9,2
class_28,0,0,0
class_29,6,6,2
class_30,0,0,0
class_31,6,6,0
class_32,0,0,0
class_33,0,0,0
class_34,0,0,0
class_35,0,0,0
class_36,9,9,0
class_37,0,0,0
class_38,0,0,0
class_39,9,9,0
class_40,0,0,0
class_41,0,0,0
class_42,9,9,0
class_43,0,0,0
class_44,9,9,0
class_45,0,0,0
class_46,0,0,0
class_47,0,0,0
class_48,6,6,1
class_49,9,9,0
class_50,6,6,0
class_51,0,0,0
class_52,6,6,1
class_53,9,9,0
class_54,6,6,1
class_55,9,9,0
class_56,0,0,0
class_57,6,6,0
class_58,0,0,0
class_59,6,6,0
class_60,0,0,0
class_61,0,0,0
class_62,0,0,0
class_63,0,0,0
class_64,9,9,1
class_65,0,0,0
class_66,0,0,0
class_67,0,0,0
class_68,0,0,0
class_69,0,0,0
class_70,0,0,0
class_71,9,9,0
class_72,9,9,0
class_73,6,6,1
class_74,9,9,0
