class,attempted_speech,imagined_speech,listening
class_1,9,9,1
class_2,6,6,0
class_3,9,9,0
class_4,9,9,1
class_5,6,6,1
class_6,9,9,1
class_7,9,9,1
class_8,9,9,1
class_9,9,9,0
class_10,9,9,0
class_11,6,6,1
class_12,9,9,1
class_13,9,9,0
class_14,9,9,0
class_15,6,6,2
class_16,9,9,1
class_17,6,6,0
class_18,6,6,1
class_19,6,6,1
class_20,9,9,2
class_21,6,6,2
class_22,6,6,1
class_23,6,6,1
class_24,9,9,2
class_25,6,6,1
class_26,9,9,1
class_27,9,9,0
class_28,9,9,1
class_29,6,6,1
class_30,9,9,1
class_31,9,9,0
class_32,9,9,1
class_33,9,9,1
class_34,9,9,2
class_35,9,9,1
class_36,9,9,1
class_37,9,9,2
class_38,9,9,2
class_39,6,6,1
class_40,6,6,1
class_41,9,9,1
class_42,6,6,1
class_43,9,9,1
class_44,9,9,1
class_45,9,9,0
class_46,9,9,1
class_47,6,6,1
class_48,6,6,1
class_49,9,9,1
class_50,9,9,1
class_51,9,9,0
class_52,6,6,2
class_53,6,6,1
class_54,9,9,1
class_55,6,6,2
class_56,9,9,1
class_57,6,6,1
class_58,6,6,1
class_59,9,9,0
class_60,9,9,1
class_61,9,9,1
class_62,9,9,2
class_63,9,9,1
class_64,9,9,1
class_65,9,9,1
class_66,9,9,1
class_67,6,6,1
class_68,9,9,1
class_69,6,6,2
class_70,9,9,1
class_71,9,9,2
class_72,9,9,1
class_73,9,9,1
class_74,9,9,0
