class,attempted_speech,imagined_speech,listening
class_1,6,6,1
class_2,9,9,1
class_3,9,9,1
class_4,9,9,1
class_5,9,9,1
class_6,9,9,0
class_7,6,6,1
class_8,6,6,1
class_9,9,9,1
class_10,9,9,1
class_11,9,9,1
class_12,6,6,1
class_13,9,9,0
class_14,3,3,1
class_15,9,9,1
class_16,9,9,1
class_17,6,6,0
class_18,9,9,1
class_19,6,6,1
class_20,9,9,0
class_21,9,9,1
class_22,9,9,0
class_23,6,6,2
class_24,9,9,1
class_25,6,6,1
class_26,9,9,0
class_27,9,9,1
class_28,9,9,2
class_29,9,9,0
class_30,9,9,1
class_31,6,6,1
class_32,9,9,1
class_33,9,9,2
class_34,9,9,1
class_35,9,9,1
class_36,9,9,1
class_37,3,3,0
class_38,9,9,1
class_39,9,9,1
class_40,6,6,1
class_41,9,9,0
class_42,9,9,1
class_43,9,9,1
class_44,6,6,2
class_45,9,9,1
class_46,9,9,1
class_47,9,9,1
class_48,9,9,2
class_49,9,9,2
class_50,6,6,1
class_51,6,6,0
class_52,9,9,2
class_53,9,9,1
class_54,6,6,1
class_55,9,9,2
class_56,9,9,2
class_57,9,9,1
class_58,6,6,0
class_59,9,9,1
class_60,6,6,1
class_61,6,6,1
class_62,9,9,1
class_63,9,9,1
class_64,9,9,1
class_65,6,6,1
class_66,9,9,1
class_67,9,9,1
class_68,9,9,0
class_69,9,9,1
class_70,9,9,1
class_71,6,6,1
class_72,9,9,2
class_73,9,9,2
class_74,9,9,1
