class,attempted_speech,imagined_speech,listening
class_1,3,3,2
class_2,9,9,0
class_3,9,9,3
class_4,9,9,1
class_5,9,9,2
class_6,9,9,1
class_7,9,9,1
class_8,9,9,2
class_9,9,9,2
class_10,3,3,1
class_11,9,9,2
class_12,9,9,2
class_13,9,9,2
class_14,6,6,2
class_15,9,9,1
class_16,9,9,3
class_17,9,9,1
class_18,9,9,3
class_19,6,6,2
class_20,9,9,0
class_21,6,6,1
class_22,9,9,1
class_23,9,9,2
class_24,9,9,2
class_25,6,6,0
class_26,9,9,1
class_27,9,9,2
class_28,9,9,2
class_29,9,9,3
class_30,9,9,1
class_31,9,9,0
class_32,6,6,1
class_33,9,9,2
class_34,6,6,2
class_35,6,6,1
class_36,9,9,3
class_37,9,9,1
class_38,9,9,2
class_39,9,9,1
class_40,6,6,1
class_41,9,9,1
class_42,9,9,3
class_43,9,9,0
class_44,9,9,0
class_45,6,6,1
class_46,6,6,2
class_47,6,6,1
class_48,9,9,3
class_49,9,9,2
class_50,9,9,2
class_51,6,6,1
class_52,9,9,3
class_53,9,9,1
class_54,9,9,2
class_55,9,9,0
class_56,9,9,1
class_57,9,9,1
class_58,6,6,0
class_59,9,9,2
class_60,6,6,1
class_61,9,9,1
class_62,6,6,1
class_63,9,9,2
class_64,9,9,3
class_65,9,9,1
class_66,9,9,2
class_67,9,9,1
class_68,6,6,2
class_69,6,6,2
class_70,9,9,2
class_71,9,9,3
class_72,9,9,1
class_73,9,9,3
class_74,9,9,1
