0.000000,333.663147,412.184235,451.037811,518.000305,373.629974,376.135742,470.986267,660.596680,388.296814,362.073792,626.498413
333.663147,0.000000,422.919952,497.404755,461.839783,426.422791,359.393097,474.388611,533.288635,315.207458,378.686493,550.133179
412.184235,422.919952,0.000000,597.582764,411.374512,447.292999,419.123962,450.470001,512.557739,379.659210,402.683380,448.966461
451.037811,497.404755,597.582764,0.000000,624.107605,417.773285,570.932739,593.594116,842.513428,623.814087,609.559509,784.049500
518.000305,461.839783,411.374512,624.107605,0.000000,609.299255,450.724548,588.413086,567.193420,431.791046,471.076111,537.916016
373.629974,426.422791,447.292999,417.773285,609.299255,0.000000,444.934143,492.184509,758.404480,527.368286,511.312988,700.432312
376.135742,359.393097,419.123962,570.932739,450.724548,444.934143,0.000000,495.294800,607.967590,338.670593,374.202271,636.907532
470.986267,474.388611,450.470001,593.594116,588.413086,492.184509,495.294800,0.000000,690.842407,457.593292,478.060120,466.237732
660.596680,533.288635,512.557739,842.513428,567.193420,758.404480,607.967590,690.842407,0.000000,527.192017,578.012390,479.248505
388.296814,315.207458,379.659210,623.814087,431.791046,527.368286,338.670593,457.593292,527.192017,0.000000,273.655060,496.366608
362.073792,378.686493,402.683380,609.559509,471.076111,511.312988,374.202271,478.060120,578.012390,273.655060,0.000000,517.472534
626.498413,550.133179,448.966461,784.049500,537.916016,700.432312,636.907532,466.237732,479.248505,496.366608,517.472534,0.000000
