metric,mean,std,min,min_sample,max,max_sample
mcd,408.373589,47.196118,281.429564,label010_trial0026_pred_Left.wav,522.688743,label050_trial0011_pred_Nurse.wav
pesq,N/A,N/A,N/A,N/A,N/A,N/A
cer_wav2vec_base,0.950000,0.299937,0.333333,label060_trial0012_pred_How.wav,1.750000,label009_trial0000_pred_Down.wav
cer_gt_wav2vec_base,0.342424,0.334992,N/A,N/A,N/A,N/A
cer_wav2vec_finetuned,0.933838,0.326476,0.000000,label028_trial0002_pred_Five.wav,2.000000,label008_trial0003_pred_Up.wav
cer_gt_wav2vec_finetuned,0.194192,0.272401,N/A,N/A,N/A,N/A
cer_hubert,0.969192,0.229519,0.500000,label022_trial0021_pred_Feet.wav,1.666667,label002_trial0015_pred_Yes.wav
cer_gt_hubert,0.263889,0.348329,N/A,N/A,N/A,N/A
