class,attempted_speech,imagined_speech,listening
class_1,2,3,1
class_2,2,2,2
class_3,2,3,1
class_4,2,3,2
class_5,2,2,2
class_6,2,3,1
class_7,2,3,2
class_8,3,3,2
class_9,2,3,1
class_10,2,3,2
class_11,2,2,1
class_12,2,3,2
class_13,2,4,2
class_14,3,4,2
class_15,2,2,2
class_16,2,3,1
class_17,2,2,1
class_18,2,2,2
class_19,2,2,2
class_20,2,3,2
class_21,2,2,1
class_22,3,2,2
class_23,2,2,2
class_24,3,4,2
class_25,2,2,1
class_26,2,3,0
class_27,2,4,2
class_28,2,3,2
class_29,2,2,1
class_30,2,4,2
class_31,2,4,2
class_32,3,5,2
class_33,3,5,2
class_34,2,3,2
class_35,3,4,2
class_36,3,3,1
class_37,3,3,2
class_38,2,3,2
class_39,2,2,1
class_40,2,2,2
class_41,2,4,3
class_42,2,2,1
class_43,3,5,1
class_44,2,3,1
class_45,2,3,2
class_46,2,3,1
class_47,2,2,2
class_48,2,2,2
class_49,2,3,2
class_50,2,4,1
class_51,2,3,0
class_52,2,2,2
class_53,2,2,2
class_54,3,4,2
class_55,2,2,1
class_56,2,3,1
class_57,2,2,1
class_58,2,2,2
class_59,3,4,2
class_60,3,3,0
class_61,2,3,1
class_62,2,3,0
class_63,2,3,1
class_64,2,3,0
class_65,2,3,1
class_66,3,4,2
class_67,2,2,1
class_68,2,4,1
class_69,2,2,2
class_70,2,3,2
class_71,2,3,3
class_72,3,5,1
class_73,2,3,2
class_74,2,3,2
