epoch,lr_g,lr_d,train_loss_g,train_loss_g_recon,train_loss_g_valid,train_loss_g_ctc,train_acc_g_valid,train_cer_gt,train_cer_recon,train_loss_d,train_loss_d_cl,train_acc_d_real,train_acc_d_fake,val_loss_g,val_loss_g_recon,val_loss_g_valid,val_loss_g_ctc,val_acc_g_valid,val_cer_gt,val_cer_recon,val_loss_d,val_loss_d_cl,val_acc_d_real,val_acc_d_fake,best_val_loss_so_far,is_best,epoch_time_sec
396,6.7759e-05,6.7759e-05,0.5253689331290996,0.19150408693646961,14.745064600379067,3.8963562914755494,0.0,0.06924272005536915,0.25663716814159293,0.0003085871312116554,1.1897466861099578e-06,1.0,1.0,0.6871066519192287,0.2700280946280275,18.76371887751988,4.180418806416648,0.0,0.2875549798565252,1.0,2.113967340733325e-06,7.982758428884803e-08,1.0,1.0,0.6871066519192287,1,2471.79474568367
397,6.7691241e-05,6.7691241e-05,0.5498738294154142,0.19652889695315234,15.728339710066804,3.877814890009112,0.0,0.06688617301725708,0.25663716814159293,1.1640008663872056e-05,5.155462885702778e-08,1.0,1.0,0.6966794558933803,0.2705696980868067,19.213522093636648,4.183932704584939,0.0,0.2875549798565252,1.0,6.23747340381239e-07,1.915863337817062e-08,1.0,1.0,0.6871066519192287,0,2501.869125843048
398,6.7623549759e-05,6.7623549759e-05,0.5513444843545424,0.19881219331142122,15.705530208823955,3.842169569656912,0.0,0.07214936165683038,0.25663716814159293,4.970132318448146e-06,1.2551499383595711e-08,1.0,1.0,0.6824830451181957,0.2754935026168823,18.29662827083043,4.105699045317514,0.0,0.2875549798565252,1.0,2.6559778122857226e-07,6.3862110837626625e-09,1.0,1.0,0.6824830451181957,1,2502.894309282303
399,6.7555926209241e-05,6.7555926209241e-05,0.5621850975846823,0.19874490731585343,16.252699008030174,3.8386217851554396,0.0011061946902654867,0.07022356894691434,0.25663716814159293,0.055332746706536824,6.027699442646763e-06,1.0,0.9988938053097345,0.6804657599755696,0.28376126289367676,17.732757772718156,4.204934988703046,0.0,0.2875549798565252,1.0,0.05923111736494922,0.0006504282742557178,0.9866071428571429,1.0,0.6804657599755696,1,2505.491698026657
400,6.748837028303176e-05,6.748837028303176e-05,0.4032699354981954,0.18718924696466563,8.866950317821672,3.8741685225900295,0.012721238938053098,0.07500418031637647,0.25663716814159293,0.5243275462865401,7.039912795514918e-05,0.9928097345132744,0.9872787610619469,0.5575852372816631,0.2698250242641994,12.311538287571498,4.152945169380733,0.0,0.2875549798565252,1.0,3.3904814180069866e-05,4.629998993723104e-08,1.0,1.0,0.5575852372816631,1,2510.4234528541565
401,6.742088191274874e-05,6.742088191274874e-05,0.41894692841884307,0.18462720737520572,9.761097954437796,3.909776744589341,0.0027654867256637168,0.07038510966617449,0.25663716814159293,0.06608968633282425,4.827263280945001e-05,0.9972345132743363,0.9972345132743363,0.5670646727085114,0.26795212232640814,12.822914804731097,4.265425179685865,0.0,0.2875549798565252,1.0,2.8101819745123585e-05,3.993149591937798e-07,1.0,1.0,0.5575852372816631,0,2502.706351041794
402,6.735346103083599e-05,6.735346103083599e-05,0.4451465917899545,0.18671904728475924,10.978530529326042,3.885693898243187,0.00165929203539823,0.0718353285198718,0.25663716814159293,0.0037256447214644045,4.718215491882859e-06,0.9988938053097345,0.9983407079646017,0.5895267703703472,0.2746220976114273,13.686735459736415,4.1169964500835965,0.0,0.2875549798565252,1.0,0.00011055957101494382,1.958597863322658e-06,1.0,1.0,0.5575852372816631,0,2483.7362093925476
403,6.728610756980515e-05,6.728610756980515e-05,0.445712378858465,0.19014708618674658,10.850266477702993,3.8559968914605873,0.0005530973451327434,0.06849724515876938,0.25663716814159293,0.005808476988199519,8.555593674157093e-06,0.9977876106194691,0.9994469026548672,0.5709440644298281,0.2727361353380339,12.786310638700213,4.2481726578303745,0.0,0.2875549798565252,1.0,5.93147211377852e-05,8.440412255783514e-07,1.0,1.0,0.5575852372816631,0,2502.0667486190796
404,6.728610757e-05,6.728610757e-05,0.48539619978550264,0.18582335800196217,13.042309921399681,3.8726651352063746,0.0022123893805309734,0.06924272005536915,0.25663716814159293,0.007924627581666102,1.5271953006935987e-05,0.9972345132743363,0.9977876106194691,0.6981205812522343,0.2732964903116226,19.11044999531337,4.261510900088719,0.0,0.2875549798565252,1.0,2.405234680884811e-06,7.982764163979742e-09,1.0,1.0,0.6981205812522343,1,2473.1293981075287
405,6.721882146243e-05,6.721882146243e-05,0.5200144263495386,0.18878696120418278,14.613239111098569,3.896269241265491,0.0005530973451327434,0.06688617301725708,0.25663716814159293,0.00032484604867424855,1.5894360926727615e-07,1.0,0.9994469026548672,0.6586224905082158,0.27196654251643587,17.2589659009661,4.147664172308786,0.0,0.2875549798565252,1.0,9.516651023285963e-06,1.1371002539561914e-07,1.0,1.0,0.6586224905082158,1,2534.5999252796173
