0.000000,0.000000,463.666595,463.666595,517.199829,514.297546,456.021088,419.509033,538.982605,498.053284,512.597351,492.183929,455.327301,456.519745,551.856750,630.795654,428.823853,468.200897,468.200897,533.922607,461.351501,502.988556,469.263916,480.354736,485.115387,500.509857,513.318420,536.337952,521.386963,526.272217,538.212646,555.389160,555.389160
0.000000,0.000000,463.666595,463.666595,517.199829,514.297546,456.021088,419.509033,538.982605,498.053284,512.597351,492.183929,455.327301,456.519745,551.856750,630.795654,428.823853,468.200897,468.200897,533.922607,461.351501,502.988556,469.263916,480.354736,485.115387,500.509857,513.318420,536.337952,521.386963,526.272217,538.212646,555.389160,555.389160
463.666595,463.666595,0.000000,0.000000,451.880188,561.882751,372.757904,531.070984,576.765137,372.599335,485.275696,475.134186,465.812744,378.226440,537.950684,572.464355,508.436127,507.650696,507.650696,476.825592,423.490723,526.410706,488.300323,457.534302,481.968292,507.201935,490.673859,640.701721,560.045105,493.881683,550.583069,571.956360,571.956360
463.666595,463.666595,0.000000,0.000000,451.880188,561.882751,372.757904,531.070984,576.765137,372.599335,485.275696,475.134186,465.812744,378.226440,537.950684,572.464355,508.436127,507.650696,507.650696,476.825592,423.490723,526.410706,488.300323,457.534302,481.968292,507.201935,490.673859,640.701721,560.045105,493.881683,550.583069,571.956360,571.956360
517.199829,517.199829,451.880188,451.880188,0.000000,557.806396,357.176361,493.754242,479.591217,413.004669,315.800446,398.117035,341.893585,414.851440,504.303314,515.034180,386.612061,432.074432,432.074432,409.580566,407.073639,580.105591,384.305115,400.646179,279.543793,438.366455,389.071136,599.624207,578.031189,409.830475,491.738525,459.464172,459.464172
514.297546,514.297546,561.882751,561.882751,557.806396,0.000000,508.659485,396.798553,368.581421,604.789185,456.291290,428.755219,448.576782,514.797852,269.966766,494.080658,509.951172,384.747864,384.747864,541.743286,402.996918,390.950256,502.112915,470.291168,409.861786,424.168060,442.290070,453.607330,483.537140,508.000610,406.452942,357.314819,357.314819
456.021088,456.021088,372.757904,372.757904,357.176361,508.659485,0.000000,410.874542,478.095551,389.986206,340.973022,343.777863,351.894867,228.749573,480.277313,563.368774,433.937225,391.412109,391.412109,419.700317,359.917389,460.730377,425.368286,373.665619,364.913422,421.075623,499.096710,590.066833,517.031677,467.780701,513.851379,490.909149,490.909149
419.509033,419.509033,531.070984,531.070984,493.754242,396.798553,410.874542,0.000000,399.026001,557.130737,356.461456,335.922668,394.253174,407.401764,394.328033,614.118774,497.273621,320.011780,320.011780,503.829987,341.089569,363.596802,487.090057,431.988861,343.995117,374.985382,520.807068,473.285217,427.029114,550.742310,439.782715,436.436737,436.436737
538.982605,538.982605,576.765137,576.765137,479.591217,368.581421,478.095551,399.026001,0.000000,599.908081,366.299530,406.115234,375.215393,522.076843,334.923004,557.193420,467.964752,359.304169,359.304169,401.907684,394.105652,367.633575,440.943665,347.250580,339.226990,374.834381,508.086914,504.484680,537.309143,500.915863,439.281708,334.445496,334.445496
498.053284,498.053284,372.599335,372.599335,413.004669,604.789185,389.986206,557.130737,599.908081,0.000000,477.090302,462.750885,484.213257,411.268188,575.331970,533.540405,513.354675,507.649597,507.649597,520.136475,450.167206,583.169678,467.711182,515.086792,476.432312,523.844543,472.183411,717.368713,644.908447,421.675415,578.393311,563.822144,563.822144
