0.000000,315.863861,342.998230,423.868927,339.009338,465.220001,291.013306,302.659576,452.137177,226.307465,208.137299,319.030060
315.863861,0.000000,437.992828,372.405243,374.560730,332.506226,299.549377,354.210388,534.010071,273.626556,340.520386,407.429321
342.998230,437.992828,0.000000,588.931824,399.841125,602.427124,441.469421,340.805664,363.938782,398.028839,306.171143,233.768082
423.868927,372.405243,588.931824,0.000000,465.644714,438.360260,405.773895,469.780975,654.180115,371.992249,479.626892,568.910217
339.009338,374.560730,399.841125,465.644714,0.000000,505.359802,368.855804,382.499512,461.577698,303.756989,382.852966,394.243225
465.220001,332.506226,602.427124,438.360260,505.359802,0.000000,317.577820,482.217621,692.346741,406.773865,522.349854,586.301636
291.013306,299.549377,441.469421,405.773895,368.855804,317.577820,0.000000,314.169128,543.678223,249.936005,314.286194,415.650543
302.659576,354.210388,340.805664,469.780975,382.499512,482.217621,314.169128,0.000000,513.994507,277.657623,249.033966,288.813934
452.137177,534.010071,363.938782,654.180115,461.577698,692.346741,543.678223,513.994507,0.000000,511.478302,473.536926,373.170990
226.307465,273.626556,398.028839,371.992249,303.756989,406.773865,249.936005,277.657623,511.478302,0.000000,274.572662,364.345001
208.137299,340.520386,306.171143,479.626892,382.852966,522.349854,314.286194,249.033966,473.536926,274.572662,0.000000,250.236572
319.030060,407.429321,233.768082,568.910217,394.243225,586.301636,415.650543,288.813934,373.170990,364.345001,250.236572,0.000000
