epoch,lr_g,lr_d,train_loss_g,train_loss_g_recon,train_loss_g_valid,train_loss_g_ctc,train_acc_g_valid,train_cer_gt,train_cer_recon,train_loss_d,train_acc_d_real,train_acc_d_fake,val_loss_g,val_loss_g_recon,val_loss_g_valid,val_loss_g_ctc,val_acc_g_valid,val_cer_gt,val_cer_recon,val_loss_d,val_acc_d_real,val_acc_d_fake,best_val_loss_so_far,is_best,epoch_time_sec
0,0.0001,0.0001,0.8547757738514951,0.722319461797413,1.444818493567015,11.800813373766447,0.0,0.08142279637487311,0.21052631578947367,4.693652002434981,0.944078947368421,1.0,0.8791885640886095,0.721938967704773,7.171119742923313,8.55383947160509,0.0,0.2958264491624302,1.0,4.410873015721639,1.0,1.0,0.8791885640886095,1,653.3263077735901
1,9.99e-05,9.99e-05,0.9660148275525946,0.724517474049016,16.63190736268696,7.51782781199405,0.0,0.066166952252388,0.21052631578947367,4.216111308649967,0.993421052631579,1.0,0.8849446376164755,0.722806539800432,10.586073557535807,5.627736780378553,0.0,0.2958264491624302,1.0,4.416358179516262,1.0,1.0,0.8791885640886095,0,591.6427166461945
2,9.980010000000001e-05,9.980010000000001e-05,0.9121036184461493,0.7294433838442752,10.819922397011204,7.446101238853053,0.0,0.05471522557108026,0.21052631578947367,3.977912927928724,0.993421052631579,1.0,0.9484252002504137,0.7782795031865438,10.376907666524252,6.637660768296984,0.0,0.2958264491624302,1.0,3.855802853902181,1.0,1.0,0.8791885640886095,0,581.1051087379456
3,9.970029990000001e-05,9.970029990000001e-05,0.9925955220272666,0.8283217800290961,10.326021144264622,6.101353908839979,0.0,0.057267025897377415,0.21052631578947367,2.9096249530189917,0.9967105263157895,1.0,0.9113988677660624,0.7642308076222738,8.373983065287272,6.342822790145874,0.0,0.2958264491624302,1.0,1.9735725323359172,1.0,1.0,0.8791885640886095,0,599.7101545333862
4,9.960059960010001e-05,9.960059960010001e-05,0.9007181180150885,0.7490462723531222,8.626137683266087,6.541046619415283,0.0,0.06336045735760738,0.21052631578947367,1.5013914892548008,1.0,1.0,0.9629622565375434,0.7928657664193047,10.770243644714355,6.239406002892388,0.0,0.2958264491624302,1.0,1.1765745613310072,1.0,1.0,0.8791885640886095,0,618.1898984909058
5,9.950099900049991e-05,9.950099900049991e-05,0.964014564689837,0.7658613449648807,13.349776769939222,6.465545528813412,0.0,0.08102314409456755,0.21052631578947367,0.5994682017909853,1.0,1.0,1.08465309937795,0.8085036542680528,21.12739011976454,6.487552960713704,0.0,0.2958264491624302,1.0,0.6730497959587309,1.0,1.0,0.8791885640886095,0,640.017430305481
6,9.94014980014994e-05,9.94014980014994e-05,0.982569274149443,0.7793734606943632,13.963089993125514,6.356490637126722,0.0,0.05590391237484781,0.21052631578947367,0.2515955961456424,1.0,1.0,1.032000720500946,0.8359179960356818,13.740377426147461,5.8678962919447155,0.0,0.2958264491624302,1.0,0.295263009559777,1.0,1.0,0.8791885640886095,0,618.0587165355682
7,9.930209650349791e-05,9.930209650349791e-05,0.9933766095261825,0.788507878780365,15.329599129526239,5.157275149696751,0.0,0.05335835877217745,0.21052631578947367,0.11925740003291714,1.0,1.0,0.9637906087769402,0.7887065211931864,12.886262469821506,4.622146871354845,0.0,0.2958264491624302,1.0,0.12324576548093723,1.0,1.0,0.8791885640886095,0,606.0306797027588
8,9.920279440699441e-05,9.920279440699441e-05,0.904203496481243,0.7423082841070074,9.337574858414499,6.851947081716437,0.0,0.06702256673260738,0.21052631578947367,0.15128970136375805,1.0,1.0,0.9389151202307807,0.742154942618476,10.565542856852213,9.110474586486816,0.0,0.2958264491624302,1.0,0.01796478145600607,1.0,1.0,0.8791885640886095,0,628.2130858898163
9,9.910359161258741e-05,9.910359161258741e-05,0.9486893039000662,0.7340275049209595,12.875729912205747,8.590451265636244,0.0,0.05759446244490774,0.21052631578947367,0.013966423152994952,1.0,1.0,1.1516826815075345,0.8919665151172214,18.372532314724392,7.599088721805149,0.0,0.2958264491624302,1.0,0.0031351178945947644,1.0,1.0,0.8791885640886095,0,684.9195938110352
10,9.900448802097483e-05,9.900448802097483e-05,1.1254694399080778,0.8782297435559725,18.390139128032484,6.333832891363847,0.0,0.06910968846396397,0.21052631578947367,0.001650366270424504,1.0,1.0,1.246915300687154,1.014162884818183,18.307449764675564,4.967794577280681,0.0,0.2958264491624302,1.0,0.0013569747000777472,1.0,1.0,0.8791885640886095,0,734.7054002285004
11,9.890548353295386e-05,9.890548353295386e-05,1.0933945178985596,0.8981070926314906,13.800980116191663,5.727762423063579,0.0,0.05523112651548887,0.21052631578947367,0.0009140519327238986,1.0,1.0,1.160601364241706,0.9807572431034512,12.403908729553223,5.5805068545871315,0.0,0.2958264491624302,1.0,0.0009451980650838879,1.0,1.0,0.8791885640886095,0,605.9372899532318
12,9.88065780494209e-05,9.88065780494209e-05,1.2393612610666376,1.079556245552866,10.080131806825337,5.9003704472592,0.0,0.07373653273833425,0.21052631578947367,0.0008372370227191009,1.0,1.0,1.2669538656870525,1.1148228115505643,10.254176457722982,4.958929803636339,0.0,0.2958264491624302,1.0,0.000889081794108885,1.0,1.0,0.8791885640886095,0,596.979053735733
13,9.870777147137147e-05,9.870777147137147e-05,1.2909294743286936,1.114831240553605,13.526030891820005,4.083792799397519,0.0,0.0601719939395001,0.21052631578947367,0.0005549212219193578,1.0,1.0,1.2638172970877752,1.1142122877968683,11.007422871059841,3.953078349431356,0.0,0.2958264491624302,1.0,0.0005625506665738714,1.0,1.0,0.8791885640886095,0,617.1338927745819
14,9.860906369990011e-05,9.860906369990011e-05,1.2481029786561664,1.108427135567916,9.964384781686883,4.003200418070743,0.0,0.0827873757011012,0.21052631578947367,0.0004408759521443005,1.0,1.0,1.2261757188373141,1.1033392349878948,8.14650689231025,4.137141784032186,0.0,0.2958264491624302,1.0,0.0006819484600176414,1.0,1.0,0.8791885640886095,0,620.3084723949432
15,9.85104546362002e-05,9.85104546362002e-05,1.3197592057679828,1.10724255285765,16.973208176462276,4.278456462057013,0.0,0.08295902609825134,0.21052631578947367,0.0005904211491150292,1.0,1.0,1.348605341381497,1.1153295172585382,19.058859719170464,4.26872115665012,0.0,0.2958264491624302,1.0,0.0003420577385339938,1.0,1.0,0.8791885640886095,0,633.2491488456726
16,9.8411944181564e-05,9.8411944181564e-05,1.3346344232559204,1.1129202215295089,17.750442705656354,4.420979223753276,0.0,0.05952328443527222,0.21052631578947367,0.00025754595423533927,1.0,1.0,1.2914268970489502,1.1105613311131795,13.218694263034397,4.867861482832167,0.0,0.2958264491624302,1.0,0.00027397771676381427,1.0,1.0,0.8791885640886095,0,615.4009501934052
17,9.831353223738244e-05,9.831353223738244e-05,1.2726801884801764,1.1070778558128758,11.882857347789564,4.677376395777652,0.0,0.06414366552704259,0.21052631578947367,0.00026025203528421884,1.0,1.0,1.2898069222768147,1.1030767891142104,13.863212585449219,4.809802214304606,0.0,0.2958264491624302,1.0,0.00024226204893946287,1.0,1.0,0.8791885640886095,0,598.443699836731
18,9.821521870514505e-05,9.821521870514505e-05,1.2708571647342883,1.0986996010730141,11.941136711522153,5.274618826414409,0.0,0.07301648196421172,0.21052631578947367,0.00022938145105543204,1.0,1.0,1.2847390837139554,1.0950408511691623,13.303790728251139,5.666037612491184,0.0,0.2958264491624302,1.0,0.00023843411044152972,1.0,1.0,0.8791885640886095,0,611.3910467624664
19,9.81170034864399e-05,9.81170034864399e-05,1.2898309419029637,1.0854220453061556,15.101202764009175,5.339687598379035,0.0,0.06056515950905649,0.21052631578947367,0.00016576369594794845,1.0,1.0,1.2110664049784343,1.0815803342395358,8.034263345930311,4.914345052507189,0.0,0.2958264491624302,1.0,0.0007713539137815436,1.0,1.0,0.8791885640886095,0,612.616893529892
20,9.801888648295346e-05,9.801888648295346e-05,1.2353912090000354,1.0664465490140413,11.758928775787354,5.135539983448229,0.0,0.07135460329683203,0.21052631578947367,0.0016553947004324168,1.0,1.0,1.207607348759969,1.0665046638912625,8.735440678066677,5.374829027387831,0.0,0.2958264491624302,1.0,0.2027787801634986,1.0,1.0,0.8791885640886095,0,671.521725654602
21,9.792086759647051e-05,9.792086759647051e-05,1.409760876705772,1.0660371278461658,28.04839016945028,6.32398617895026,0.10526315789473684,0.08310976153925846,0.21052631578947367,1.2111116079000854,0.9901315789473685,0.8947368421052632,1.582672079404195,1.0752547184626262,44.919409857855904,5.822326448228624,0.0,0.2958264491624302,1.0,0.7369609508249495,0.9583333333333334,1.0,0.8791885640886095,0,614.6392579078674
22,9.782294672887403e-05,9.782294672887403e-05,1.5968278583727384,1.0633235416914288,47.75901412963867,5.591419596421091,0.0,0.07150078055105712,0.21052631578947367,0.19404262343519613,0.9901315789473685,1.0,1.5715313222673204,1.0549501710467868,46.81948386298286,4.83863279554579,0.0,0.2958264491624302,1.0,0.013553204635779062,1.0,1.0,0.8791885640886095,0,627.8225252628326
23,9.772512378214515e-05,9.772512378214515e-05,1.5010161588066502,1.007823617834794,45.28828189247533,4.030971075359144,0.0,0.06909645074292232,0.21052631578947367,0.009090294853146923,1.0,1.0,1.510158446100023,1.0168880091773138,45.544368743896484,3.782676378885905,0.0,0.2958264491624302,1.0,0.0034783079107809397,1.0,1.0,0.8791885640886095,0,623.2912182807922
24,9.762739865836301e-05,9.762739865836301e-05,1.421434195418107,0.9531854422468888,42.3637012682463,4.461173019911113,0.0,0.058911804305879695,0.21052631578947367,0.0027965200378706583,1.0,1.0,1.4416614638434515,0.9737647838062711,42.61039140489366,4.179279380374485,0.0,0.2958264491624302,1.0,0.002231893776398566,1.0,1.0,0.8791885640886095,0,682.3998703956604
25,9.752977125970466e-05,9.752977125970466e-05,1.4578101760462712,1.0081846431681984,40.79612511082699,4.1664283526571175,0.0,0.060832084793793526,0.21052631578947367,0.0016040435722587925,1.0,1.0,1.46758943133884,1.0429554912779067,38.43190722995334,4.031485478083293,0.0,0.2958264491624302,1.0,0.0016732680572507281,1.0,1.0,0.8791885640886095,0,665.401807308197
26,9.743224148844495e-05,9.743224148844495e-05,1.5047862341529445,1.0516381828408492,40.95441537154348,4.360392645785683,0.0,0.07612469321803043,0.21052631578947367,0.0011846622985199485,1.0,1.0,1.5810286071565416,1.0624492698245578,46.77296490139432,5.084968301984999,0.0,0.2958264491624302,1.0,0.0012987515106538518,1.0,1.0,0.8791885640886095,0,665.9594068527222
27,9.73348092469565e-05,9.73348092469565e-05,1.6199174931174831,1.0679997582184642,48.33916051764237,6.852615582315545,0.0,0.06973311854036231,0.21052631578947367,0.0009339147792687934,1.0,1.0,1.6138692961798773,1.0615547630521986,47.485054863823784,7.746401415930854,0.0,0.2958264491624302,1.0,0.0010366303225358327,1.0,1.0,0.8791885640886095,0,654.365291595459
28,9.723747443770954e-05,9.723747443770954e-05,1.621130761347319,1.056278573839288,48.345257206967005,8.139962673187256,0.0,0.07326153156004454,0.21052631578947367,0.0007534467777555907,1.0,1.0,1.5836835437350802,1.046043038368225,46.6847775777181,7.079276349809435,0.0,0.2958264491624302,1.0,0.0008783273709317049,1.0,1.0,0.8791885640886095,0,668.8884429931641
29,9.714023696327183e-05,9.714023696327183e-05,1.5910842857862775,1.058921399869417,45.018253928736634,8.198035466043573,0.0,0.05136499671559585,0.21052631578947367,0.0006090746258115886,1.0,1.0,1.6403631236818101,1.079177074962192,46.29208416408963,9.826521873474121,0.0,0.2958264491624302,1.0,0.000681544495617143,1.0,1.0,0.8791885640886095,0,643.4439718723297
30,9.704309672630856e-05,9.704309672630856e-05,1.640354313348469,1.0686629445929277,47.6802326001619,9.488905731000399,0.0,0.07692871438829522,0.21052631578947367,0.0004984331608284265,1.0,1.0,1.6686176194085016,1.0673129426108465,49.998343573676216,10.132127549913195,0.0,0.2958264491624302,1.0,0.000594064570678812,1.0,1.0,0.8791885640886095,0,713.2036039829254
31,9.694605362958225e-05,9.694605362958225e-05,1.6784179085179378,1.0652256262929816,51.40880343788549,9.910426792345548,0.0,0.060529466522367376,0.21052631578947367,0.00041217566161465486,1.0,1.0,1.668269952138265,1.0585267941157024,51.151615142822266,9.822700712415907,0.0,0.2958264491624302,1.0,0.000477277921163477,1.0,1.0,0.8791885640886095,0,603.5555417537689
32,9.684910757595267e-05,9.684910757595267e-05,1.679879671648929,1.055054834014491,51.397576783832754,11.084906979611045,0.0,0.07151628011151363,0.21052631578947367,0.0003486378126054708,1.0,1.0,1.690667298105028,1.0525710980097454,52.1281246609158,11.681493865119087,0.0,0.2958264491624302,1.0,0.00041403724753763527,1.0,1.0,0.8791885640886095,0,608.0220108032227
33,9.675225846837672e-05,9.675225846837672e-05,1.6956376025551243,1.0531144832309924,52.17063421952097,12.081679344177246,0.0,0.06921562238743431,0.21052631578947367,0.00029340268213816573,1.0,1.0,1.6903113391664293,1.0521926085154216,52.34395429823134,11.467921362982857,0.0,0.2958264491624302,1.0,0.00034744244314626686,1.0,1.0,0.8791885640886095,0,620.4007737636566
34,9.665550620990834e-05,9.665550620990834e-05,1.695125981381065,1.052640162016216,52.36023210224352,11.888350436561986,0.0,0.05271943148813749,0.21052631578947367,0.00025293978519345587,1.0,1.0,1.687148928642273,1.0514651934305828,52.47186406453451,11.096510357326931,0.0,0.2958264491624302,1.0,0.000301080312864441,1.0,1.0,0.8791885640886095,0,618.2880189418793
35,9.655885070369844e-05,9.655885070369844e-05,1.699929820863824,1.052288664014716,52.53767234400699,12.22644339109722,0.0,0.06989646114801105,0.21052631578947367,0.00021478637369766243,1.0,1.0,1.6896066400739882,1.0516596635182698,52.71682103474935,11.077881495157877,0.0,0.2958264491624302,1.0,0.0002562051045566073,1.0,1.0,0.8791885640886095,0,609.5281784534454
