class,attempted_speech,imagined_speech,listening
class_1,2,2,1
class_2,2,3,1
class_3,2,3,1
class_4,2,4,1
class_5,2,3,1
class_6,3,4,0
class_7,2,2,1
class_8,2,2,1
class_9,2,3,1
class_10,2,3,1
class_11,2,3,1
class_12,2,2,1
class_13,3,4,0
class_14,2,1,1
class_15,3,5,1
class_16,2,3,1
class_17,2,2,0
class_18,2,3,1
class_19,2,2,1
class_20,2,3,0
class_21,2,3,1
class_22,2,3,0
class_23,2,2,2
class_24,2,3,1
class_25,2,2,1
class_26,3,4,0
class_27,2,3,1
class_28,2,4,2
class_29,2,4,0
class_30,2,4,1
class_31,2,2,1
class_32,3,3,1
class_33,2,3,2
class_34,2,3,1
class_35,2,3,1
class_36,2,3,1
class_37,2,1,0
class_38,3,3,1
class_39,2,4,1
class_40,2,2,1
class_41,3,5,0
class_42,3,3,1
class_43,3,4,1
class_44,2,2,2
class_45,2,3,1
class_46,2,3,1
class_47,3,3,1
class_48,3,4,2
class_49,2,4,2
class_50,2,2,1
class_51,2,2,0
class_52,2,3,2
class_53,3,4,1
class_54,2,2,1
class_55,2,3,2
class_56,2,3,2
class_57,3,4,1
class_58,2,2,0
class_59,2,3,1
class_60,2,2,1
class_61,2,2,1
class_62,3,4,1
class_63,2,3,1
class_64,2,3,1
class_65,2,2,1
class_66,2,3,1
class_67,2,4,1
class_68,2,3,0
class_69,3,3,1
class_70,3,4,1
class_71,2,2,1
class_72,2,3,2
class_73,2,3,2
class_74,2,3,1
