epoch,lr_g,lr_d,train_loss_g,train_loss_g_recon,train_loss_g_valid,train_loss_g_ctc,train_acc_g_valid,train_cer_gt,train_cer_recon,train_loss_d,train_acc_d_real,train_acc_d_fake,val_loss_g,val_loss_g_recon,val_loss_g_valid,val_loss_g_ctc,val_acc_g_valid,val_cer_gt,val_cer_recon,val_loss_d,val_acc_d_real,val_acc_d_fake,best_val_loss_so_far,is_best,epoch_time_sec
0,0.0001,0.0001,0.7268816828727722,0.6692759331903959,0.9303637272433231,4.830211940564607,0.22697368421052633,0.11337933414860775,0.21052631578947367,4.765862515098171,0.9342105263157895,0.7730263157894737,0.6268040670288934,0.5506188140975105,2.8658309512668185,4.752695242563884,0.0,0.5287834968831804,1.0,4.445678287082249,0.8888888888888888,1.0,0.6268040670288934,1,1366.8732690811157
1,9.99e-05,9.99e-05,0.47691445758468226,0.42221267442954213,1.5848740761070268,3.885303961603265,0.680921052631579,0.10714354797413475,0.21052631578947367,5.179546180524324,0.944078947368421,0.3190789473684211,0.31022575828764176,0.26465415954589844,0.6635503172874451,3.8936100006103516,0.9027777777777778,0.5287834968831804,1.0,4.974504046969944,0.9305555555555556,0.09722222222222222,0.31022575828764176,1,2425.3106236457825
2,9.980010000000001e-05,9.980010000000001e-05,0.29098815823856156,0.24506180302092903,0.663548657768651,3.9290868483091654,0.9276315789473685,0.0905268364831021,0.21052631578947367,4.883743235939427,0.9243421052631579,0.07236842105263158,0.2774687707424164,0.2290320247411728,0.6381917132271661,4.205482986238268,0.9444444444444444,0.5287834968831804,1.0,4.972611533270942,0.8333333333333334,0.05555555555555555,0.2774687707424164,1,1574.5840849876404
3,9.970029990000001e-05,9.970029990000001e-05,0.27494582533836365,0.2288286505561126,0.7006567653856779,3.911060245413529,0.5190789479958383,0.09057828627134624,0.21052631578947367,4.724541463349995,0.680921052631579,0.48092105200416163,0.2685452931457096,0.2238098813427819,0.5184800393051572,3.955061568154229,0.8472222222222222,0.5287834968831804,1.0,4.846438619825575,0.8472222222222222,0.1527777777777778,0.2685452931457096,1,1029.8837258815765
4,9.960059960010001e-05,9.960059960010001e-05,0.27842400732793304,0.23149665719584414,0.8135422687781485,3.8791927914870414,0.38881578963053853,0.11141754137842279,0.21052631578947367,4.303624002557052,0.5796052625304774,0.6111842111537331,0.27787056896421647,0.2289953993426429,0.9418981936242845,3.9456189738379583,0.125,0.5287834968831804,1.0,4.214832835727268,0.5972222222222222,0.875,0.2685452931457096,0,1078.524314880371
5,9.950099900049991e-05,9.950099900049991e-05,0.27172170657860606,0.22480062591402153,0.8280676477833798,3.8640402869174353,0.34013157926107707,0.10780810996105797,0.21052631578947367,3.315785295084903,0.6019736842105263,0.6598684223074662,0.27620288729667664,0.22780991759565142,0.9431875281863742,3.8961088127560086,0.3611111111111111,0.5287834968831804,1.0,2.8773784372541638,0.7638888888888888,0.6388888888888888,0.2685452931457096,0,1104.201744556427
6,9.94014980014994e-05,9.94014980014994e-05,0.27300422599441126,0.22426229793774455,0.9848520912622151,3.889340965371383,0.3703947380969399,0.10602619930317528,0.21052631578947367,2.0644408087981376,0.6401315802022031,0.6296052634716034,0.2766994999514686,0.2233357694413927,1.3651931418312921,3.971179061465793,0.05555555555555555,0.5287834968831804,1.0,1.3778266112009685,0.7083333333333334,0.9444444444444444,0.2685452931457096,0,1072.0947782993317
7,9.930209650349791e-05,9.930209650349791e-05,0.2780330118380095,0.22662358299682014,1.3107076318640458,3.8302350420700875,0.25394736857790695,0.10457675237404673,0.21052631578947367,1.2431997594080473,0.6835526322063646,0.7460526322063646,0.278943227397071,0.2289077341556549,1.0298930539025202,3.973656521903144,0.2569444444444444,0.5287834968831804,1.0,1.1468717985683017,0.7638888888888888,0.7430555555555556,0.2685452931457096,0,1058.8787503242493
8,9.920279440699441e-05,9.920279440699441e-05,0.2784730635191265,0.22616949520613017,1.4132270875730013,3.8171298503875732,0.26644736842105265,0.10627302684282001,0.21052631578947367,0.9315285463082162,0.7407894730567932,0.7335526315789473,0.2756827904118432,0.2274513757891125,0.8328735828399658,3.9902680450015597,0.5347222222222222,0.5287834968831804,1.0,0.8851272397571139,0.7222222222222222,0.4652777777777778,0.2685452931457096,0,1103.94801735878
9,9.910359161258741e-05,9.910359161258741e-05,0.28162000210661636,0.22779304808691928,1.5530191989321458,3.829676490080984,0.20328947431162783,0.0960413750849272,0.21052631578947367,0.6792150375090147,0.7776315808296204,0.7967105264726438,0.29155182507303024,0.24198882778485617,0.6786919782559077,4.27760812971327,0.6527777777777778,0.5287834968831804,1.0,0.9639539188808866,0.8611111111111112,0.3472222222222222,0.2685452931457096,0,1091.354782819748
10,9.900448802097483e-05,9.900448802097483e-05,0.286259778236088,0.2314841174765637,1.6469407552166988,3.8306259607013904,0.22434210542001223,0.09677191470798693,0.21052631578947367,0.7164169361716822,0.7605263151620564,0.7756578953642594,0.29054444697168136,0.22748168971803454,2.3487972948286266,3.957478337817722,0.006944444444444444,0.5287834968831804,1.0,0.5984457698133256,0.5972222222222222,0.9930555555555556,0.2685452931457096,0,1104.0063445568085
11,9.890548353295386e-05,9.890548353295386e-05,0.2898053809216148,0.2301309014621534,2.150651272974516,3.81679630279541,0.13157894736842105,0.10394039279536198,0.21052631578947367,0.4286964237689972,0.8203947387243572,0.868421052631579,0.287703447871738,0.22847676111592186,2.052993271085951,3.8696752389272056,0.041666666666666664,0.5287834968831804,1.0,0.4216651643315951,0.7638888888888888,0.9583333333333334,0.2685452931457096,0,1049.0749282836914
12,0.0001,0.0001,0.29988484006179006,0.2417206834805639,1.8109522179553383,4.005463374288459,0.21776315805159116,0.11337933414860775,0.21052631578947367,0.7367340890984786,0.7809210545138309,0.7822368427326805,0.29829807745085823,0.24294264449013603,1.7238192160924275,3.811724000506931,0.06944444444444445,0.0,0.0,0.4911714328659905,0.8055555555555556,0.9305555555555556,0.29829807745085823,1,998.3920032978058
13,0.0001,0.0001,0.2916056294190256,0.2362401908949802,1.5929985030701286,3.9435456928453947,0.24671052631578946,0.11337933414860775,0.21052631578947367,0.740503297040337,0.7374999993725827,0.7532894736842105,0.311245643430286,0.2334985120428933,3.833490424686008,3.9412225087483725,0.006944444444444444,0.0,0.0,0.5575936370425754,0.7361111111111112,0.9930555555555556,0.311245643430286,1,1201.5186483860016
14,9.99e-05,9.99e-05,0.2874300872024737,0.22880466988212184,1.9271014238658704,3.9354407787323,0.1342105269432068,0.09999051690101624,0.21052631578947367,0.5193024105147311,0.7743421071454099,0.8657894730567932,0.27662885851330227,0.22227146393722957,1.4713426166110568,3.9643962383270264,0.24305555555555555,0.0,0.0,0.8306153118610382,0.9305555555555556,0.7569444444444444,0.27662885851330227,1,1185.1989698410034
15,0.0001,0.0001,0.2800154685974121,0.22193846498665057,1.9311192380754572,3.8765813676934493,0.15986842113105873,0.11337933414860775,0.21052631578947367,0.45841714504518005,0.8486842105263158,0.8401315808296204,0.28944141666094464,0.22380615770816803,2.5228875743018255,4.040638976626926,0.013888888888888888,0.0,0.0,0.3777031559083197,0.625,0.9861111111111112,0.28944141666094464,1,1205.782291173935
16,0.0001,0.0001,0.28146717736595556,0.222624534839078,1.8498406316104687,4.0344234767713045,0.17763157894736842,0.11337933414860775,0.21052631578947367,0.5033768368394751,0.7664473684210527,0.8223684210526315,0.2765408257643382,0.21820137898127237,1.8907915155092876,3.9431531694200306,0.08333333333333333,0.0,0.0,0.28491516245736015,0.9027777777777778,0.9166666666666666,0.2765408257643382,1,1076.584345817566
17,9.99e-05,9.99e-05,0.29048922971675273,0.22707626380418477,2.2690368200603284,4.072259940599141,0.10855263157894737,0.09999051690101624,0.21052631578947367,0.41618217527866364,0.8513157901011015,0.8914473684210527,0.29236966040399337,0.22710059252050188,2.610504839155409,3.916402737299601,0.020833333333333332,0.0,0.0,0.49291785061359406,0.7083333333333334,0.9791666666666666,0.2765408257643382,0,1117.6154758930206
